latitud;longitud;nombre;;direccion
3.42991;-76.53241;ELECTRA MOTORS S.A.S.;;Calle 10 No. 32-29
3.41886;-76.24281;SUMOTO S.A.;;Carrera 10 # 7 - 30
4.75323;-75.91298;ELECTROJAPONESA S.A. - CO 213;;Carrera 5 No. 10-72
3.52581;-76.29816;ELECTROJAPONESA S.A. - CO 205;;Calle 29 No. 26A-29
3.4229;-76.46352;ELECTROJAPONESA S.A. - CO 120;;Carrera 26A Bis con Calle 122 Esquina
3.52824;-76.29979;ALMACEN DEL GAS;;Calle 31 No. 32-02
4.26018;-75.93494;SU MOTO DEL CAFÉ S.A.;;Carrera 51 No 48-56
3.43191;-76.53901;SUMOTO S.A.;;Calle 6 No. 28- 61
3.24994;-76.22845;ALMACEN DEL GAS;;Carrera 7 # 10 - 25
3.43426;-76.53921;AKT MOTOS;;Carrera 26 No. 5C-52
4.53309;-76.10336;MOTOS DEL MAR ;;Carrera 15 No. 19-06
3.37575;-76.54519;RUEDA MOTOS HERO;;Carrera 94 No. 4C-51
3.45859;-76.5253;MOTORED DE COLOMBIA S.A.S.;;Carrera 1 No. 21-78
3.45114;-76.55187;GARCIA MONTOYA S.A.S.;;Calle 1 Oeste No. 39-06 Piso 2
3.47523;-76.4849;MOTORED DE COLOMBIA S.A.S.;;Carrera 1 # 22 - 58
3.47617;-76.51896;GRUPO SUPERMOTOS S.A.S.;;Avenida 3 Norte No. 40-212
3.43402;-76.52645;GRUPO SUPERMOTOS S.A.S.;;CC UNICO Local 903
4.79367;-75.99502;GRUPO SUPERMOTOS S.A.S.;;Calle 2 No. 2 A1-54
4.75349;-75.91273;SUKY MOTO S.A.;;Calle 10 No. 10-76
4.75349;-75.91273;GRUPO SUPERMOTOS S.A.S.;;Calle 10 No. 10-95
3.4458;-76.48493;SIMOTOS S.A.S.;;Diagonal 15 No. 71-130
4.74497;-75.92253;MACESAMOTOS S.A.S.;;Calle 10 No. 11-70
3.44951;-76.53234;ELECTROJAPONESA S.A. - SEDE PRINCIPAL - CO 110;;Calle 11 No. 6-50
3.43328;-76.53977;ELECTROJAPONESA S.A. - CO 117;;Carrera 27 No. 78-37
3.89817;-76.30022;ELECTROJAPONESA S.A. - CO 209;;Carrera 12 No. 6-45
3.44997;-76.49961;ELECTROJAPONESA S.A. - TIENDA ESPECIALIZADA  - CO 113;;Carrera 8 No. 11-01
3.43402;-76.52645;ELECTROJAPONESA S.A. - MEGATIENDA - CO 114;;Calle 11 No. 8-42
3.43327;-76.50941;CDA EL PARAISO S.A.S.;;TV 29 #28-157
3.89764;-76.30238;ALMACEN DEL GAS;;Carrera 14 No. 9-90
3.68606;-76.31459;ALMACEN DEL GAS;;Calle 9 No. 13-26
4.75308;-75.91337;MACESAMOTOS S.A.S.;;Calle 10 No. 11-70 Local 2
3.68365;-76.31097;SUMOTO S.A.;;Carrera 10 No. 6-85
3.68457;-76.31287;GRUPO SUPERMOTOS S.A.S.;;Carrera 12 No. 8-80
3.44465;-76.48765;VERIFICARTE;;Diagonal 15 No. 71A-191
4.74613;-75.91261;SUZUKI MOTOR DE COLOMBIA S.A.  ;;Calle 10 No. 8-34
3.44465;-76.48765;VERIFICARTE;;Diagonal 15 No. 71A-20
3.41401;-76.3468;SUMOTO S.A.;;Carrera 7 No. 9-26 Local 5
4.7533;-75.91266;MOTORED DE COLOMBIA S.A.S.;;Calle 10 No. 9-73
3.40889;-76.5172;GRUPO SUPERMOTOS S.A.S.;;Carrera 46 No. 37-57
3.41965;-76.48036;ALMACEN DEL GAS;;Calle 91 No. 27-09
3.4269;-76.48371;ALMACEN DEL GAS;;Diagonal 26 M2 Transversal No. 73A-04
4.33382;-75.82441;SU MOTO DEL CAFÉ S.A.;;Carrera 9 No. 15-46
4.32545;-75.83105;SUKY MOTO S.A.;;Carrera 16 No. 19-44
3.68458;-76.31378;VALLE MOTOS S.A;;Carrera 13 No.7-06
3.88917;-76.29624;SUKY MOTO S.A.;;Carrera 8 No. 6-24
3.68345;-76.30467;YAMOTOS S.A.S.;;Calle 6 No. 9-87
3.44528;-76.48589;ZAGAMOTOS DEL PACIFICO S.A.S.;;Diagonal 15 No. 71A-56
3.39734;-76.38948;SUMOTO S.A.;;Carrera 7 No. 9-26
3.42084;-76.24389;SUMOTO S.A.;;Calle 7 No. 12-58
4.75205;-75.91651;SUKY MOTO S.A.;;Calle 15 No. 3-93
3.88917;-76.29624;SUKY MOTO S.A.;;Carrera 8 No. 13-24
3.89725;-76.29674;SUMOTO S.A.;;Carrera 8 No. 6-71
3.76357;-76.3298;ALMACEN DEL GAS;;Calle 5 No. 5 - 106
